net,wires
"(18,12)","[(9,4,0),(10,4,0),(10,5,0),(11,5,0),(11,6,0),(11,7,0)]"
"(25,13)","[(12,1,0),(13,1,0),(14,1,0),(14,2,0),(14,3,0),(14,4,0),(14,5,0),(15,5,0),(15,6,0),(16,6,0),(16,7,0)]"
"(6,18)","[(12,10,0),(11,10,0),(10,10,0),(9,10,0),(9,9,0),(9,9,1),(9,8,1),(9,7,1),(9,6,1),(9,5,1),(9,4,1),(9,4,0)]"
"(15,7)","[(16,5,0),(17,5,0),(17,6,0),(17,7,0),(17,8,0),(16,8,0),(15,8,0),(14,8,0),(14,9,0),(14,10,0)]"
"(12,13)","[(11,7,0),(12,7,0),(13,7,0),(14,7,0),(15,7,0),(16,7,0)]"
"(23,9)","[(9,2,0),(8,2,0),(8,3,0),(8,4,0),(8,5,0),(8,5,1),(8,6,1),(8,7,1),(8,8,1),(8,8,0)]"
"(16,11)","[(2,4,0),(3,4,0),(4,4,0),(4,4,1),(4,5,1),(4,6,1),(4,7,1),(4,7,0)]"
"(5,1)","[(3,10,0),(2,10,0),(1,10,0),(1,11,0)]"
"(11,5)","[(4,7,0),(3,7,0),(3,8,0),(3,9,0),(3,10,0)]"
"(1,16)","[(1,11,0),(2,11,0),(2,11,1),(2,10,1),(2,9,1),(2,8,1),(2,7,1),(2,6,1),(2,5,1),(2,4,1),(2,4,0)]"
"(12,8)","[(11,7,0),(11,7,1),(12,7,1),(12,8,1),(12,9,1),(12,9,0)]"
"(24,21)","[(1,1,0),(1,2,0),(1,3,0)]"
"(14,20)","[(13,5,0),(12,5,0),(12,4,0),(12,3,0),(12,3,1),(12,3,2),(13,3,2),(14,3,2),(15,3,2),(15,3,1),(15,3,0),(15,4,0)]"
"(17,22)","[(6,4,0),(5,4,0),(5,4,1),(5,3,1),(5,2,1),(5,2,0),(4,2,0),(3,2,0),(2,2,0)]"
"(3,6)","[(10,11,0),(11,11,0),(11,11,1),(11,11,2),(12,11,2),(12,10,2),(13,10,2),(13,10,1),(13,10,0),(12,10,0)]"
"(18,12)","[(9,4,0),(9,3,0),(9,3,1),(10,3,1),(10,4,1),(10,5,1),(10,6,1),(10,7,1),(10,8,1),(11,8,1),(11,8,0),(11,7,0)]"
"(25,13)","[(12,1,0),(12,2,0),(13,2,0),(13,3,0),(13,4,0),(13,4,1),(14,4,1),(15,4,1),(16,4,1),(16,5,1),(16,6,1),(16,7,1),(16,7,0)]"
"(12,16)","[(11,7,0),(10,7,0),(9,7,0),(8,7,0),(7,7,0),(6,7,0),(5,7,0),(5,6,0),(4,6,0),(3,6,0),(2,6,0),(2,5,0),(2,4,0)]"
chip_1_net_5,143
