net,wires
"(5,1)","[(3,10,0),(2,10,0),(1,10,0),(1,11,0)]"
"(11,5)","[(4,7,0),(3,7,0),(3,8,0),(3,9,0),(3,10,0)]"
"(24,21)","[(1,1,0),(1,2,0),(1,3,0)]"
"(3,6)","[(10,11,0),(10,10,0),(11,10,0),(12,10,0)]"
"(12,8)","[(11,7,0),(11,8,0),(11,9,0),(12,9,0)]"
"(14,20)","[(13,5,0),(14,5,0),(14,4,0),(15,4,0)]"
"(15,7)","[(16,5,0),(16,5,1),(16,6,1),(16,7,1),(16,8,1),(16,8,0),(16,9,0),(16,10,0),(15,10,0),(14,10,0)]"
"(18,12)","[(9,4,0),(10,4,0),(10,5,0),(11,5,0),(11,6,0),(11,7,0)]"
"(12,13)","[(11,7,0),(12,7,0),(13,7,0),(14,7,0),(15,7,0),(16,7,0)]"
"(12,16)","[(11,7,0),(11,7,1),(10,7,1),(9,7,1),(8,7,1),(8,6,1),(7,6,1),(6,6,1),(5,6,1),(4,6,1),(3,6,1),(3,6,0),(3,5,0),(2,5,0),(2,4,0)]"
"(17,22)","[(6,4,0),(5,4,0),(5,3,0),(5,2,0),(4,2,0),(3,2,0),(2,2,0)]"
"(25,13)","[(12,1,0),(12,2,0),(12,3,0),(12,4,0),(12,5,0),(12,6,0),(13,6,0),(14,6,0),(15,6,0),(16,6,0),(16,7,0)]"
"(23,9)","[(9,2,0),(9,3,0),(8,3,0),(8,4,0),(8,5,0),(8,6,0),(8,7,0),(8,8,0)]"
"(16,11)","[(2,4,0),(3,4,0),(4,4,0),(4,5,0),(4,6,0),(4,7,0)]"
"(1,16)","[(1,11,0),(1,11,1),(1,10,1),(1,9,1),(1,8,1),(1,7,1),(1,6,1),(1,6,0),(1,5,0),(1,4,0),(2,4,0)]"
"(18,12)","[(9,4,0),(9,5,0),(9,6,0),(10,6,0),(10,7,0),(11,7,0)]"
"(25,13)","[(12,1,0),(13,1,0),(13,2,0),(14,2,0),(14,3,0),(15,3,0),(16,3,0),(17,3,0),(17,4,0),(17,5,0),(17,6,0),(17,7,0),(16,7,0)]"
"(6,18)","[(12,10,0),(12,10,1),(12,9,1),(12,8,1),(12,7,1),(12,6,1),(11,6,1),(10,6,1),(9,6,1),(9,5,1),(9,4,1),(9,4,0)]"
chip_1_net_5,117
